objectID,userToken,timestamp,eventType,eventName
butter,179725670,1671396391,conversion,Ingredient Used
onion,179725670,1671396391,conversion,Ingredient Used
sage,179725670,1671396391,conversion,Ingredient Used
lemon,179725670,1671396391,conversion,Ingredient Used
rum,179725670,1671396391,conversion,Ingredient Used
apricot,179725670,1671396391,conversion,Ingredient Used
thyme,179725670,1671396391,conversion,Ingredient Used
chicken,179725670,1671396391,conversion,Ingredient Used
butter,121072214,1673629271,conversion,Ingredient Used
dried fruit,121072214,1673629271,conversion,Ingredient Used
orange,121072214,1673629271,conversion,Ingredient Used
lemon,121072214,1673629271,conversion,Ingredient Used
brandy,121072214,1673629271,conversion,Ingredient Used
almond,121072214,1673629271,conversion,Ingredient Used
cinnamon,121072214,1673629271,conversion,Ingredient Used
allspice,121072214,1673629271,conversion,Ingredient Used
butter,3029200976,1672301771,conversion,Ingredient Used
dried fruit,3029200976,1672301771,conversion,Ingredient Used
gin,3029200976,1672301771,conversion,Ingredient Used
orange,3029200976,1672301771,conversion,Ingredient Used
orange,3029200976,1672301771,conversion,Ingredient Used
almond,3029200976,1672301771,conversion,Ingredient Used
cinnamon,3029200976,1672301771,conversion,Ingredient Used
apricot,3029200976,1672301771,conversion,Ingredient Used
almond,3029200976,1672301771,conversion,Ingredient Used
milk,3242997420,1670699452,conversion,Ingredient Used
butter,3242997420,1670699452,conversion,Ingredient Used
butter,3242997420,1670699452,conversion,Ingredient Used
cinnamon,3242997420,1670699452,conversion,Ingredient Used
apricot,3242997420,1670699452,conversion,Ingredient Used
lemon,3242997420,1670699452,conversion,Ingredient Used
raisin,3821558872,1668444403,conversion,Ingredient Used
butter,3821558872,1668444403,conversion,Ingredient Used
vanilla,3821558872,1668444403,conversion,Ingredient Used
butter,3821558872,1668444403,conversion,Ingredient Used
vanilla,3821558872,1668444403,conversion,Ingredient Used
chocolate,3821558872,1668444403,conversion,Ingredient Used
chocolate,3821558872,1668444403,conversion,Ingredient Used
carrot,1088811739,1670220033,conversion,Ingredient Used
cabbage,1088811739,1670220033,conversion,Ingredient Used
onion,1088811739,1670220033,conversion,Ingredient Used
pepper,1088811739,1670220033,conversion,Ingredient Used
maple,1088811739,1670220033,conversion,Ingredient Used
mustard,1088811739,1670220033,conversion,Ingredient Used
vinegar,1088811739,1670220033,conversion,Ingredient Used
lemon,3650794148,1673557270,conversion,Ingredient Used
cinnamon,3650794148,1673557270,conversion,Ingredient Used
butter,1632530272,1670531803,conversion,Ingredient Used
chocolate,1632530272,1670531803,conversion,Ingredient Used
chocolate,1632530272,1670531803,conversion,Ingredient Used
cocoa,1632530272,1670531803,conversion,Ingredient Used
rose,1632530272,1670531803,conversion,Ingredient Used
truffle,1632530272,1670531803,conversion,Ingredient Used
chocolate,1632530272,1670531803,conversion,Ingredient Used
wine,4199931836,1673467418,conversion,Ingredient Used
berry,4199931836,1673467418,conversion,Ingredient Used
lime,4199931836,1673467418,conversion,Ingredient Used
gin,4199931836,1673467418,conversion,Ingredient Used
tomato,4211445957,1669373277,conversion,Ingredient Used
sage,4211445957,1669373277,conversion,Ingredient Used
sage,4211445957,1669373277,conversion,Ingredient Used
butter,3795521490,1673047981,conversion,Ingredient Used
bacon,3795521490,1673047981,conversion,Ingredient Used
tomato,658678612,1669654447,conversion,Ingredient Used
pepper,658678612,1669654447,conversion,Ingredient Used
onion,658678612,1669654447,conversion,Ingredient Used
garlic,658678612,1669654447,conversion,Ingredient Used
vinegar,658678612,1669654447,conversion,Ingredient Used
coriander,658678612,1669654447,conversion,Ingredient Used
pepper,658678612,1669654447,conversion,Ingredient Used
fig,3402321922,1670645056,conversion,Ingredient Used
orange,3402321922,1670645056,conversion,Ingredient Used
lemon,3402321922,1670645056,conversion,Ingredient Used
rum,3402321922,1670645056,conversion,Ingredient Used
butter,3402321922,1670645056,conversion,Ingredient Used
almond,3402321922,1670645056,conversion,Ingredient Used
